Total Exports|Annual Data,,,,,,,,,
Data Row Count,17773,,,,,,,,
Data Type,HTS Number,Description,Country,2020,2021,2022,2023,2024,2025
FAS Value,01,LIVE ANIMALS,Trinidad and Tobago,1245586.00,1458222.00,1207372.00,872195.00,1092670.00,0.00
FAS Value,01,LIVE ANIMALS,Tunisia,774819.00,489581.00,606668.00,1249279.00,1110048.00,0.00
FAS Value,01,LIVE ANIMALS,Turkey,4202329.00,12197905.00,9665159.00,18017426.00,14045930.00,0.00
FAS Value,01,LIVE ANIMALS,Turkmenistan,0.00,0.00,0.00,0.00,112730.00,0.00
FAS Value,01,LIVE ANIMALS,Turks and Caicos Islands,0.00,10225.00,0.00,0.00,2624.00,0.00
FAS Value,01,LIVE ANIMALS,Ukraine,498460.00,524453.00,0.00,0.00,0.00,0.00
FAS Value,01,LIVE ANIMALS,United Arab Emirates,14944271.00,4354407.00,10719043.00,8977969.00,15164750.00,0.00
FAS Value,01,LIVE ANIMALS,United Kingdom,39282932.00,43776999.00,44482992.00,39306805.00,40507566.00,0.00
FAS Value,01,LIVE ANIMALS,Uruguay,431777.00,520405.00,437464.00,448000.00,91000.00,0.00
FAS Value,01,LIVE ANIMALS,Uzbekistan,8005408.00,0.00,350436.00,230020.00,222989.00,0.00
FAS Value,01,LIVE ANIMALS,Venezuela,212438.00,116713.00,825155.00,370577.00,369516.00,0.00
FAS Value,01,LIVE ANIMALS,Vietnam,27154457.00,17710733.00,8953644.00,6867395.00,9334051.00,0.00
FAS Value,01,LIVE ANIMALS,Zambia,60000.00,0.00,0.00,0.00,83237.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Afghanistan,9614315.00,10366112.00,133905.00,118800.00,171348.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Albania,12125534.00,9147586.00,12551730.00,14416500.00,11832806.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Algeria,0.00,0.00,0.00,0.00,34840.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Andorra,0.00,57770.00,0.00,0.00,8400.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Angola,84417809.00,127330067.00,235588290.00,116152129.00,135667389.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Anguilla,1287034.00,2001254.00,2488632.00,2934534.00,2731393.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Antigua and Barbuda,7694254.00,11029345.00,13793397.00,14445834.00,16802006.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Argentina,294672.00,338019.00,728113.00,1692727.00,1597757.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Armenia,4142499.00,3415226.00,5571138.00,3342954.00,3476996.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Aruba,10497201.00,19579663.00,24281527.00,28131930.00,28844734.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Australia,232044712.00,174287808.00,105326251.00,224376244.00,298649802.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Austria,0.00,9360.00,50000.00,7500.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Azerbaijan,30633.00,0.00,0.00,0.00,108666.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Bahamas,57771112.00,66175024.00,82263055.00,84197710.00,83374095.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Bahrain,8731108.00,11373682.00,12779739.00,11584886.00,13567786.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Bangladesh,0.00,25700.00,0.00,95443.00,190740.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Barbados,6462670.00,8773279.00,15548070.00,13991670.00,14754229.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Belgium,2626214.00,14031755.00,4861512.00,8718139.00,5801446.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Belize,2203907.00,3008210.00,3522769.00,3681904.00,4056785.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Benin,8354816.00,24528007.00,28607443.00,27497915.00,16376344.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Bermuda,18291859.00,19487604.00,21888976.00,22854542.00,23944745.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Bolivia,107998.00,81736.00,82638.00,108318.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Brazil,1176958.00,1686116.00,3848866.00,1569741.00,425408.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,British Indian Ocean Territory,0.00,0.00,2680.00,0.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,British Virgin Islands,4748892.00,5307962.00,6635516.00,8176540.00,8292666.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Brunei,0.00,0.00,330288.00,0.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Bulgaria,37469.00,47672.00,0.00,0.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Burkina Faso,0.00,0.00,0.00,217071.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Cabo Verde,713429.00,264064.00,439232.00,777721.00,385647.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Cambodia,5033083.00,5391237.00,12239730.00,8358874.00,10364547.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Cameroon,330309.00,401195.00,311381.00,150914.00,63110.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Canada,1428180934.00,1494821227.00,1588501666.00,1640283023.00,1694403219.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Cayman Islands,17350710.00,20704852.00,24451314.00,26476353.00,27894623.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Central African Republic,223928.00,555831.00,960788.00,625685.00,613414.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Chad,22888.00,12640.00,54737.00,4813.00,26400.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Chile,228015665.00,233280906.00,147284140.00,129649615.00,123460649.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,China,3146343350.00,3970571421.00,4328762295.00,3325585238.00,2820164616.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Christmas Island,0.00,0.00,0.00,0.00,37589.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Colombia,244525590.00,391578961.00,377474518.00,352858630.00,443809193.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Comoros,418608.00,385120.00,49484.00,363510.00,400790.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Cook Islands,1603336.00,2349484.00,2118045.00,2005876.00,2508495.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Costa Rica,57524771.00,96741612.00,98263431.00,122523026.00,134013151.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Croatia,85000.00,0.00,0.00,18870.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Cuba,143131602.00,282704432.00,295523174.00,286660444.00,330878949.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Curaçao,10436350.00,11475263.00,12824928.00,13670288.00,14187354.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Cyprus,27978.00,61974.00,597010.00,452697.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Czechia (Czech Republic),60000.00,221265.00,0.00,62945.00,9920.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Côte d`Ivoire,2125571.00,2102580.00,2922104.00,3478611.00,2490720.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Democratic Republic of the Congo,26758988.00,35461932.00,29424215.00,31618819.00,29268767.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Denmark,247939.00,14619.00,758563.00,652625.00,102926.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Djibouti,89300.00,96613.00,308740.00,150923.00,91697.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Dominica,3666320.00,3698663.00,4956487.00,5456098.00,5818107.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Dominican Republic,187278157.00,304021662.00,397772937.00,465300090.00,512953451.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Ecuador,5548951.00,6664837.00,4168432.00,4067808.00,4809315.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Egypt,56797407.00,73415798.00,96525251.00,60960606.00,63356065.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,El Salvador,40534406.00,70444725.00,66596876.00,79771454.00,92172047.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Equatorial Guinea,3031858.00,6860252.00,7352321.00,5094251.00,2703886.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Ethiopia,799681.00,538052.00,865503.00,0.00,148040.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Fiji,0.00,0.00,13932.00,4770.00,71051.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Finland,34018.00,0.00,6786.00,38175.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,France,890801.00,420117.00,786258.00,1852284.00,1029037.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,French Guiana,35200.00,293298.00,0.00,0.00,96000.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,French Polynesia,20689461.00,23614511.00,30834839.00,34218139.00,32214574.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,French Southern and Antarctic Lands,409715.00,715678.00,278552.00,293805.00,422749.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Gabon,15944986.00,16281275.00,25017666.00,22149425.00,21083721.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Gambia,13268387.00,22993047.00,37647617.00,37868198.00,48339067.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Gaza Strip,143586.00,58774.00,1857433.00,0.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Georgia,78434714.00,39260701.00,68294898.00,77649195.00,64130829.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Germany,18964588.00,10021106.00,19987935.00,16959266.00,18518742.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Ghana,55001928.00,92688962.00,60243691.00,57296797.00,83778591.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Greece,211437.00,1329885.00,627850.00,2608474.00,1907944.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Greenland,0.00,0.00,0.00,73211.00,0.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Grenada,3312932.00,4529754.00,6309623.00,5904542.00,6243566.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Guadeloupe,479773.00,386462.00,361379.00,664908.00,807275.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Guatemala,177923694.00,296447061.00,288988595.00,338966509.00,363768612.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Guinea,9212361.00,15639542.00,20731229.00,12187414.00,7241470.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Guinea-Bissau,133725.00,353831.00,657372.00,1689560.00,1369479.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Guyana,1159615.00,1701383.00,4280707.00,5720166.00,7220810.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Haiti,68382027.00,111355477.00,90071754.00,80117246.00,73704235.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Honduras,98958408.00,152829834.00,137831978.00,163007875.00,186561083.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Hong Kong,788244707.00,529283124.00,420583794.00,502489582.00,534168753.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Hungary,3145.00,0.00,0.00,3255.00,7994.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Iceland,108277.00,629723.00,1080152.00,387183.00,435822.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,India,496497.00,1710689.00,1272587.00,2360962.00,2596367.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Indonesia,74746940.00,121646912.00,127237051.00,89376582.00,97408467.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Iraq,29752377.00,3622143.00,10764975.00,38734119.00,46489936.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Ireland,367063.00,0.00,149165.00,50395.00,22650.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Israel,8833920.00,10244320.00,18036145.00,12416623.00,13475735.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Italy,11685751.00,20026880.00,28775146.00,41608173.00,39008129.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Jamaica,28301550.00,33300764.00,42678750.00,44057516.00,36847689.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Japan,3483208791.00,3905705389.00,3597461051.00,3112597959.00,3127779702.00,0.00
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,Jordan,10702597.00,14985363.00,17997477.00,9826034.00,13773449.00,0.00
