General Imports|Annual Data,,,,,,,,,
Data Row Count,14176,,,,,,,,
Data Type,HTS Number,Description,Country,2020,2021,2022,2023,2024,2025
General Import Charges,01,LIVE ANIMALS,Saudi Arabia,251.00,440.00,12511.00,50.00,22786.00,0.00
General Import Charges,01,LIVE ANIMALS,Senegal,25124.00,4360.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Serbia,54264.00,140583.00,103198.00,78965.00,46948.00,0.00
General Import Charges,01,LIVE ANIMALS,Seychelles,477.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Sierra Leone,497.00,0.00,1250.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Singapore,0.00,15543.00,4409.00,8449.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Sint Maarten,1156.00,2426.00,600.00,4976.00,3279.00,0.00
General Import Charges,01,LIVE ANIMALS,Slovakia,294504.00,380918.00,439383.00,476506.00,265907.00,0.00
General Import Charges,01,LIVE ANIMALS,Slovenia,17600.00,57058.00,34526.00,41847.00,26193.00,0.00
General Import Charges,01,LIVE ANIMALS,Solomon Islands,30759.00,103625.00,33530.00,10086.00,16790.00,0.00
General Import Charges,01,LIVE ANIMALS,South Africa,70782.00,105185.00,80905.00,77803.00,99923.00,0.00
General Import Charges,01,LIVE ANIMALS,South Korea,102130.00,284350.00,296617.00,273779.00,116733.00,0.00
General Import Charges,01,LIVE ANIMALS,Spain,969264.00,999998.00,924360.00,766259.00,601713.00,0.00
General Import Charges,01,LIVE ANIMALS,Sri Lanka,0.00,0.00,0.00,0.00,8367.00,0.00
General Import Charges,01,LIVE ANIMALS,Sudan,450.00,870.00,3585.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Suriname,31129.00,39135.00,33776.00,24802.00,24906.00,0.00
General Import Charges,01,LIVE ANIMALS,Sweden,223096.00,173971.00,303899.00,190349.00,171215.00,0.00
General Import Charges,01,LIVE ANIMALS,Switzerland,86498.00,110709.00,89385.00,125865.00,165930.00,0.00
General Import Charges,01,LIVE ANIMALS,Syria,0.00,0.00,2500.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Taiwan,152289.00,258975.00,393137.00,317958.00,437195.00,0.00
General Import Charges,01,LIVE ANIMALS,Tajikistan,0.00,0.00,0.00,1437.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Tanzania,0.00,0.00,0.00,0.00,1.00,0.00
General Import Charges,01,LIVE ANIMALS,Thailand,102082.00,137522.00,78526.00,63304.00,102612.00,0.00
General Import Charges,01,LIVE ANIMALS,Togo,138350.00,203119.00,179101.00,110099.00,95274.00,0.00
General Import Charges,01,LIVE ANIMALS,Tokelau,15800.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Tonga,0.00,2499.00,0.00,3707.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Trinidad and Tobago,0.00,0.00,0.00,0.00,579.00,0.00
General Import Charges,01,LIVE ANIMALS,Tunisia,0.00,0.00,0.00,0.00,400.00,0.00
General Import Charges,01,LIVE ANIMALS,Turkey,39415.00,44441.00,10526.00,17009.00,44356.00,0.00
General Import Charges,01,LIVE ANIMALS,Turks and Caicos Islands,0.00,0.00,1545.00,0.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Uganda,1000.00,0.00,0.00,22221.00,0.00,0.00
General Import Charges,01,LIVE ANIMALS,Ukraine,488760.00,592769.00,86122.00,16487.00,98588.00,0.00
General Import Charges,01,LIVE ANIMALS,United Arab Emirates,252.00,20543.00,7362.00,16090.00,35299.00,0.00
General Import Charges,01,LIVE ANIMALS,United Kingdom,1695292.00,1850805.00,1695452.00,1310190.00,1397443.00,0.00
General Import Charges,01,LIVE ANIMALS,Uruguay,5938.00,38928.00,7969.00,16015.00,84570.00,0.00
General Import Charges,01,LIVE ANIMALS,Uzbekistan,58335.00,68883.00,226869.00,202482.00,59107.00,0.00
General Import Charges,01,LIVE ANIMALS,Venezuela,31888.00,64404.00,44079.00,11592.00,21259.00,0.00
General Import Charges,01,LIVE ANIMALS,Vietnam,294580.00,632278.00,1009267.00,532189.00,633307.00,0.00
General Import Charges,01,LIVE ANIMALS,Zambia,0.00,1.00,0.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Argentina,2689283.00,4743415.00,5454319.00,4919029.00,6760426.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Australia,47745575.00,49335572.00,63124910.00,72421261.00,90582925.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Bangladesh,0.00,45.00,0.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Barbados,0.00,0.00,20597.00,3000.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Belgium,0.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Brazil,3871382.00,9311150.00,21292711.00,16888968.00,25565262.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Burkina Faso,0.00,100.00,0.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Cambodia,0.00,100.00,100.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Cameroon,100.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Canada,21415060.00,24378157.00,24914708.00,22928956.00,21603619.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Chile,7149136.00,11147951.00,23901273.00,12914728.00,10058874.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,China,446223.00,1279206.00,1738663.00,761475.00,1328065.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Colombia,204.00,218.00,120.00,0.00,2100.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Costa Rica,1172579.00,1054520.00,785693.00,1038831.00,1269890.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Denmark,3304751.00,6390022.00,7750455.00,4075836.00,5024152.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Dominican Republic,0.00,0.00,0.00,29540.00,60658.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Ecuador,6748.00,8627.00,10527.00,24013.00,36276.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Finland,26525.00,9469.00,40087.00,32547.00,82263.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,France,127669.00,737325.00,792874.00,793609.00,450684.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Germany,88700.00,106000.00,117698.00,119000.00,108642.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Honduras,327506.00,4329.00,15064.00,0.00,2100.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Hungary,491036.00,1740322.00,2135452.00,304942.00,374442.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Iceland,8142.00,10500.00,2800.00,12000.00,7291.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,India,8610.00,32690.00,0.00,0.00,1.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Indonesia,0.00,2500.00,0.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Ireland,2766780.00,3045390.00,3047640.00,1794767.00,1870126.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Italy,2512160.00,3578078.00,5156687.00,4562231.00,4889948.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Japan,2791486.00,7455595.00,9850900.00,7734173.00,7111627.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Lebanon,0.00,0.00,0.00,0.00,2477.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Lithuania,2371.00,1440.00,2631.00,4379.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Mexico,4536948.00,4707912.00,4790502.00,3681763.00,2756744.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Mozambique,0.00,0.00,0.00,100.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Myanmar (Burma),0.00,100.00,0.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Namibia,161238.00,0.00,0.00,3500.00,10183.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Netherlands,1847772.00,2073493.00,2603771.00,2036792.00,2416916.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,New Zealand,35706221.00,38544473.00,38802680.00,42891641.00,46945396.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Nicaragua,8473364.00,9909555.00,11474197.00,9559825.00,9667154.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Pakistan,0.00,0.00,0.00,0.00,4360.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Paraguay,0.00,0.00,0.00,0.00,5145028.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Peru,5617.00,4611.00,9814.00,1141.00,15357.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Poland,3266716.00,4451344.00,3635131.00,1481240.00,1618686.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Portugal,14854.00,27229.00,24231.00,7175.00,9650.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Romania,0.00,0.00,250.00,0.00,15000.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,San Marino,0.00,4415.00,6811.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Spain,1231738.00,2410549.00,3956785.00,3099851.00,3109079.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Taiwan,0.00,0.00,0.00,2800.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Thailand,3109.00,19144.00,24254.00,2587.00,2986.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Turkey,0.00,0.00,5600.00,0.00,0.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,United Kingdom,141308.00,559867.00,944147.00,194097.00,752032.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Uruguay,4879460.00,5417084.00,7707340.00,7573001.00,12529992.00,0.00
General Import Charges,02,MEAT AND EDIBLE MEAT OFFAL,Vietnam,30045.00,258384.00,354920.00,165921.00,119187.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Albania,0.00,0.00,5000.00,6500.00,148730.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Algeria,0.00,0.00,2.00,0.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Angola,0.00,0.00,13462.00,10521.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Antigua and Barbuda,5166.00,13.00,1.00,0.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Argentina,6449678.00,12480536.00,17931590.00,9701910.00,11718086.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Armenia,55208.00,48282.00,48244.00,36705.00,57004.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Australia,7629172.00,10811070.00,11543168.00,9807464.00,10891155.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Austria,0.00,0.00,0.00,0.00,317.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Bahamas,371588.00,582844.00,572552.00,770476.00,926739.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Bahrain,3950.00,100359.00,163441.00,296840.00,184034.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Bangladesh,828562.00,1895696.00,2191268.00,1385572.00,1005666.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Barbados,214434.00,262803.00,281543.00,227017.00,105738.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Belarus,9.00,203.00,781.00,9922.00,30012.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Belgium,5815.00,3119.00,5230.00,4936.00,5212.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Belize,460509.00,615248.00,498574.00,476828.00,478789.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Benin,0.00,1215.00,8535.00,0.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Brazil,11348591.00,19940371.00,23669025.00,18218024.00,21783117.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",British Indian Ocean Territory,0.00,0.00,0.00,0.00,6100.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",British Virgin Islands,0.00,0.00,0.00,600.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Brunei,5000.00,0.00,0.00,0.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Bulgaria,8430.00,21743.00,33333.00,33035.00,25368.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Burundi,0.00,0.00,4500.00,0.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Cabo Verde,836.00,3296.00,65070.00,53237.00,1020.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Cambodia,0.00,0.00,0.00,582.00,0.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Cameroon,2056.00,10569.00,1402.00,3129.00,1969.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Canada,24754331.00,22341310.00,22919882.00,18150071.00,17122440.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Central African Republic,0.00,0.00,0.00,6500.00,1800.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Chile,276175386.00,291448490.00,299358238.00,361615424.00,301798490.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",China,67807711.00,144138780.00,161565200.00,59038440.00,80573698.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Colombia,17410585.00,18505929.00,23181323.00,24078252.00,20749964.00,0.00
General Import Charges,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",Cook Islands,0.00,12500.00,0.00,0.00,0.00,0.00
